Transaction,Project No,Branch,Manager,Type,Cost,Document type
7-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
7-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
7-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
7-Mar-12,P1080,6060,FCONDELLO,PY,294,TS
7-Mar-12,P1080,6060,FCONDELLO,PY,980,TS
7-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
7-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
14-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
14-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
14-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
14-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
14-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
21-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
21-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
21-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
21-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
21-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
28-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
28-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
28-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
28-Mar-12,P1080,6060,FCONDELLO,PY,784,TS
4-Apr-12,P1080,6060,FCONDELLO,PY,784,TS
4-Apr-12,P1080,6060,FCONDELLO,PY,784,TS
4-Apr-12,P1080,6060,FCONDELLO,PY,784,TS
3-Mar-12,P1080,6060,FCONDELLO,PP,408.41,PO
8-Mar-12,P1080,6060,FCONDELLO,PP,266,PO
10-Mar-12,P1080,6060,FCONDELLO,PP,261.73,PO
13-Mar-12,P1080,6060,FCONDELLO,CI,54.55,CV
17-Mar-12,P1080,6060,FCONDELLO,PP,125,PO
17-Mar-12,P1080,6060,FCONDELLO,PP,31.4,PO
21-Mar-12,P1080,6060,FCONDELLO,PP,59.54,PO
24-Mar-12,P1080,6060,FCONDELLO,PP,636.1,PO
27-Mar-12,P1080,6060,FCONDELLO,PP,316.76,PO
3-Apr-12,P1080,6060,FCONDELLO,PP,156.08,PO
3-Apr-12,P1080,6060,FCONDELLO,PP,17.53,PO
3-Apr-12,P1080,6060,FCONDELLO,PP,12.74,PO
3-Apr-12,P1080,6060,FCONDELLO,PP,38.25,PO
3-Apr-12,P1080,6060,FCONDELLO,PP,55.85,PO
6-May-12,P1080,6060,FCONDELLO,JE,121.82,BR
31-Aug-12,P1080,6060,FCONDELLO,PP,-765,PO
18-May-12,P1088,6060,JMOLLOY,IN,-3489.5,SO
20-Jul-12,P1088,6060,JMOLLOY,IN,-5000,SO
5-Dec-12,P1088,6060,JMOLLOY,IN,-3025.85,SO
22-Mar-12,P1088,6060,JMOLLOY,CI,5.56,CV
27-Feb-13,P1088,6060,JMOLLOY,CI,1.82,CV
25-Apr-12,P1088,6060,JMOLLOY,PY,196,TS
2-May-12,P1088,6060,JMOLLOY,PY,330,TS
2-May-12,P1088,6060,JMOLLOY,PY,880,TS
9-May-12,P1088,6060,JMOLLOY,PY,294,TS
9-May-12,P1088,6060,JMOLLOY,PY,882,TS
9-May-12,P1088,6060,JMOLLOY,PY,294,TS
9-May-12,P1088,6060,JMOLLOY,PY,980,TS
9-May-12,P1088,6060,JMOLLOY,PY,1540,TS
9-May-12,P1088,6060,JMOLLOY,PY,220.5,TS
9-May-12,P1088,6060,JMOLLOY,PY,882,TS
9-May-12,P1088,6060,JMOLLOY,PY,73.5,TS
9-May-12,P1088,6060,JMOLLOY,PY,1176,TS
9-May-12,P1088,6060,JMOLLOY,PY,294,TS
9-May-12,P1088,6060,JMOLLOY,PY,882,TS
9-May-12,P1088,6060,JMOLLOY,PY,165,TS
9-May-12,P1088,6060,JMOLLOY,PY,1100,TS
30-May-12,P1088,6060,JMOLLOY,PY,147,TS
30-May-12,P1088,6060,JMOLLOY,PY,1176,TS
30-May-12,P1088,6060,JMOLLOY,PY,98,TS
30-May-12,P1088,6060,JMOLLOY,PY,294,TS
30-May-12,P1088,6060,JMOLLOY,PY,784,TS
30-May-12,P1088,6060,JMOLLOY,PY,147,TS
30-May-12,P1088,6060,JMOLLOY,PY,1176,TS
6-Jun-12,P1088,6060,JMOLLOY,PY,294,TS
6-Jun-12,P1088,6060,JMOLLOY,PY,784,TS
6-Jun-12,P1088,6060,JMOLLOY,PY,98,TS
13-Jun-12,P1088,6060,JMOLLOY,PY,98,TS
13-Jun-12,P1088,6060,JMOLLOY,PY,343,TS
27-Jun-12,P1088,6060,JMOLLOY,PY,294,TS
27-Jun-12,P1088,6060,JMOLLOY,PY,294,TS
27-Jun-12,P1088,6060,JMOLLOY,PY,196,TS
27-Jun-12,P1088,6060,JMOLLOY,PY,588,TS
25-Jul-12,P1088,6060,JMOLLOY,PY,392,TS
25-Jul-12,P1088,6060,JMOLLOY,PY,220.5,TS
8-Aug-12,P1088,6060,JMOLLOY,PY,490,TS
8-Aug-12,P1088,6060,JMOLLOY,PY,1372,TS
8-Aug-12,P1088,6060,JMOLLOY,PY,147,TS
